esc,river,year,area,exp
10000,CLYAK RIVER,1982,9,1.00%
50,NIGGER CREEK,1982,12,0.247467778634973
NA,CREASY BAY RIVER,1982,12,0.247467778634973
NA,SALLIE CREEK,1982,12,0.247467778634973
150000,GLENDALE CREEK,1982,12,0.247467778634973
0,HAUSKIN CREEK,1982,12,0.247467778634973
NA,TUNA RIVER,1982,12,0.247467778634973
NA,FULMORE RIVER,1982,12,0.247467778634973
NA,KITASU CREEK,1982,7,44.00%
NA,QUATSESE RIVER,1982,12,0.247467778634973
4750,ADAM RIVER,1982,12,0.247467778634973
1500,NIMPKISH RIVER,1982,12,0.247467778634973
5000,KIMSQUIT RIVER,1982,8,9.00%
NA,ICY RIVER,1982,12,0.247467778634973
25,GREEN RIVER,1982,8,9.00%
12,KAMANO BAY CREEK,1982,12,0.247467778634973
NA,TANCRED CREEK,1982,12,0.247467778634973
NA,WALDEN CREEK II,1982,12,0.247467778634973
NA,RAINBOW CREEK,1982,7,44.00%
25000,KOEYE RIVER,1982,8,9.00%
NA,NIEL CREEK,1982,9,1.00%
NA,GEISH CREEK,1982,7,44.00%
NA,KILPALA RIVER,1982,12,0.247467778634973
1600,KADJUSDIS RIVER,1982,7,44.00%
NA,BUGHOUSE CREEK,1982,12,0.247467778634973
1000,HIRD POINT CREEK,1982,7,44.00%
3000,BOTTLENECK CREEK,1982,7,44.00%
NA,RESCUE BAY CREEKS,1982,7,44.00%
250,OATSOALIS CREEK,1982,9,1.00%
2000,PINE RIVER,1982,7,44.00%
0,DALLERY CREEK,1982,9,1.00%
8700,KORICH CREEK,1982,7,44.00%
NA,NEKITE SPAWNING CHANNEL,1982,10,23.00%
NA,SNOOTLI CREEK,1982,8,9.00%
9000,NEKITE RIVER,1982,10,23.00%
NA,CARRIDEN CREEK,1982,12,0.247467778634973
NA,LILIAN CREEK,1982,7,44.00%
35000,WAKEMAN RIVER,1982,12,0.247467778634973
500,QUATSE RIVER,1982,12,0.247467778634973
NA,MILLS CREEK,1982,12,0.247467778634973
NA,EVE RIVER,1982,12,0.247467778634973
0,MACKENZIE RIVER,1982,12,0.247467778634973
300,MCLOUGHLIN CREEK,1982,7,44.00%
0,CRAB HARBOUR CREEK,1982,8,9.00%
NA,MACHMELL RIVER,1982,9,1.00%
NA,CANOE CREEK,1982,10,23.00%
NA,SOUND POINT LAGOON CREEK,1982,7,44.00%
3000,MACNAIR CREEK,1982,9,1.00%
6200,JAMES BAY CREEK,1982,7,44.00%
NA,GARBAGE DUMP CREEK,1982,8,9.00%
NA,"NAHWITTI RIVER",1982,12,0.247467778634973
NA,"NAYSASH CREEK",1982,10,23.00%
200,NIEUMIAMUS CREEK,1982,8,9.00%
NA,STRANDBY RIVER,1982,12,0.247467778634973
2000,ASSEEK RIVER,1982,8,9.00%
400,ELCHO CREEK,1982,8,9.00%
10000,CLUXEWE RIVER,1982,12,0.247467778634973
9500,DUTHIE CREEK,1982,7,44.00%
NA,SKIMLETS CREEK,1982,8,9.00%
NA,TASTSQUAN CREEK,1982,8,9.00%
NA,HAGENSBORG SLOUGH,1982,8,9.00%
NA,TZEO RIVER,1982,9,1.00%
8000,CHUCKWALLA RIVER,1982,9,1.00%
NA,SMOKEHOUSE CREEK,1982,10,23.00%
0,NEECHANZ RIVER,1982,9,1.00%
NA,SIM RIVER,1982,12,0.247467778634973
NA,BOND RIVER NO. 1,1982,12,0.247467778634973
NA,BULLOCK CHANNEL #2 CREEK,1982,7,44.00%
NA,MAPLE CREEK,1982,12,0.247467778634973
NA,HYDE CREEK,1982,12,0.247467778634973
NA,THIRD CREEK,1982,8,9.00%
NA,KWAKIUTL CREEK,1982,7,44.00%
NA,WALKER ISLAND CREEK,1982,8,9.00%
25,WALKUM CREEK,1982,10,23.00%
NA,AIRPORT SIDE CHANNEL,1982,8,9.00%
NA,MARGARET CREEK,1982,10,23.00%
NA,CHIC CHIC CREEK,1982,10,23.00%
3000,KILBELLA RIVER,1982,9,1.00%
NA,BULLOCK CHANNEL #3 NORTH CREEK,1982,7,44.00%
70000,KAKWEIKEN RIVER,1982,12,0.247467778634973
NA,FANNIE COVE LEFT HAND CREEK,1982,7,44.00%
NA,SALLY CREEK,1982,7,44.00%
6,SHOAL HARBOUR CREEK,1982,12,0.247467778634973
17000,"NAMELESS CREEK",1982,7,44.00%
7000,KAINET CREEK,1982,7,44.00%
70000,JOHNSTON CREEK,1982,9,1.00%
NA,OWIKENO LAKE,1982,9,1.00%
NA,HAGEN CREEK,1982,10,23.00%
125,LEE CREEK,1982,7,44.00%
150000,BELLA COOLA RIVER,1982,8,9.00%
300,SONGHEES CREEK,1982,12,0.247467778634973
NA,POTTS LAGOON CREEK,1982,12,0.247467778634973
650,LULL CREEK,1982,12,0.247467778634973
NA,DREW CREEK,1982,7,44.00%
NA,DSULISH CREEK,1982,10,23.00%
50,KILDIDT LAGOON #2 CREEK,1982,7,44.00%
32000,CLATSE CREEK,1982,7,44.00%
NA,CHARLES CREEK,1982,12,0.247467778634973
1000,TANKEEAH RIVER,1982,7,44.00%
NA,BOSS CREEK,1982,10,23.00%
NA,ROBERT ARM CREEK,1982,9,1.00%
NA,SPILLER LAGOON CREEK,1982,7,44.00%
NA,WAHKANA BAY CREEK,1982,12,0.247467778634973
750,JENNY BAY CREEKS,1982,8,9.00%
50,DEER PASS LAGOON CREEKS,1982,7,44.00%
NA,CUTTER COVE CREEK,1982,12,0.247467778634973
NA,WAHGILAH CREEK,1982,7,44.00%
1050,BEALE'S LAGOON CREEK,1982,7,44.00%
NA,KLINAKLINI RIVER,1982,12,0.247467778634973
0,KILDIDT CREEK,1982,7,44.00%
150,ALLARD CREEK,1982,9,1.00%
500,NOOSESECK RIVER,1982,8,9.00%
NA,REAK CREEK,1982,7,44.00%
1200,JENNIS BAY CREEK,1982,12,0.247467778634973
500,TALEOMEY RIVER,1982,8,9.00%
NA,PORT HARVEY LAGOON CREEKS,1982,12,0.247467778634973
9500,KUNSOOT RIVER,1982,7,44.00%
300,KISAMEET RIVER,1982,8,9.00%
300,MARTIN RIVER,1982,8,9.00%
300,SKOWQUILTZ RIVER,1982,8,9.00%
510,BIG CREEK,1982,7,44.00%
750,MILTON RIVER,1982,9,1.00%
NA,SUTHERLAND RIVER,1982,12,0.247467778634973
25,CAMP CREEK,1982,8,9.00%
NA,THORWALD CREEK,1982,8,9.00%
NA,CORTINA CREEK,1982,12,0.247467778634973
NA,TAKUSH RIVER,1982,10,23.00%
NA,KLEMTU CREEK,1982,7,44.00%
6000,MUSSEL RIVER,1982,7,44.00%
0,STEWART CREEK,1982,7,44.00%
NA,INZIANA RIVER,1982,9,1.00%
250,WANNOCK RIVER,1982,9,1.00%
6,BOSWELL CREEK,1982,10,23.00%
NA,SPILLER INLET CREEK,1982,7,44.00%
NA,BULLOCK CHANNEL #3 SOUTH CREEK,1982,7,44.00%
NA,JENNY BAY WEST CREEK,1982,8,9.00%
NA,ADA COVE CREEK,1982,7,44.00%
850,NICKNAQUEET RIVER,1982,9,1.00%
2800,BOLIN BAY CREEK,1982,7,44.00%
0,PROTECTION POINT CREEK,1982,12,0.247467778634973
NA,CORDUROY CREEK,1982,10,23.00%
0,TUNO CREEK,1982,7,44.00%
NA,BRADLEY CREEK,1982,12,0.247467778634973
0,SHIP POINT CREEK,1982,7,44.00%
2500,HOOK NOSE CREEK,1982,8,9.00%
350,NOOTUM RIVER,1982,8,9.00%
NA,WALDON CREEK,1982,12,0.247467778634973
50,ASHLULM CREEK,1982,9,1.00%
NA,SHOAL CREEK,1982,12,0.247467778634973
NA,EMILY CREEK,1982,7,44.00%
NA,"NASCALL CREEK",1982,8,9.00%
200,GILFORD CREEK,1982,12,0.247467778634973
NA,"NAKA CREEK",1982,12,0.247467778634973
820,WORAN CREEK,1982,8,9.00%
85000,AHNUHATI RIVER,1982,12,0.247467778634973
24000,KINGCOME RIVER,1982,12,0.247467778634973
NA,SIMOOM SOUND CREEK,1982,12,0.247467778634973
NA,AMBACK CREEK,1982,9,1.00%
NA,TUNO CREEK WEST,1982,7,44.00%
0,DEEP BAY CREEK,1982,8,9.00%
NA,HEALTH LAGOON CREEK,1982,12,0.247467778634973
NA,GORILLA CREEK,1982,7,44.00%
8,CALL CREEK,1982,12,0.247467778634973
240,TOM BAY CREEK,1982,7,44.00%
NA,SHEEMAHANT RIVER,1982,9,1.00%
NA,GRANTHAM CREEK,1982,8,9.00%
12000,EMBLEY CREEK,1982,12,0.247467778634973
70,DE COSMOS LAGOON CREEK,1982,8,9.00%
NA,NOOKLIKONNIK CREEK,1982,8,9.00%
NA,NUSASH CREEK,1982,8,9.00%
NA,FRANKLIN RIVER,1982,12,0.247467778634973
NA,MARION CREEK,1982,12,0.247467778634973
80,CALDER CREEK,1982,7,44.00%
NA,MARY COVE CREEK,1982,7,44.00%
NA,SHELTER BAY CREEK,1982,12,0.247467778634973
NA,SCOTT COVE CREEK,1982,12,0.247467778634973
NA,CLAYTON FALLS CREEK,1982,8,9.00%
50,WASHWASH RIVER,1982,9,1.00%
NA,TSITIKA RIVER,1982,12,0.247467778634973
NA,ROBBERS KNOB CREEK,1982,12,0.247467778634973
200,EVANS INLET #3 CREEK,1982,8,9.00%
NA,CACOOHTIN CREEK,1982,8,9.00%
NA,NEWICHY CREEK,1982,9,1.00%
NA,HAND CREEK,1982,12,0.247467778634973
75,BOUGHEY CREEK,1982,12,0.247467778634973
50,BULLOCK CHANNEL CREEKS,1982,7,44.00%
4000,KWAKUSDIS RIVER,1982,7,44.00%
NA,THIEMER CREEK,1982,12,0.247467778634973
NA,NIMMO CREEK,1982,12,0.247467778634973
NA,FISH CREEK,1982,8,9.00%
NA,ALLARDYCE CREEK,1982,12,0.247467778634973
NA,FANNIE COVE RIGHT HAND CREEK,1982,7,44.00%
150,BULLEY BAY CREEK,1982,7,44.00%
NA,MCINTOSH CREEK,1982,12,0.247467778634973
NA,DOCEE RIVER,1982,10,23.00%
NA,GEORGE HALL CREEK,1982,8,9.00%
0,COHOE CREEK,1982,12,0.247467778634973
500,FRENCHMAN CREEK,1982,8,9.00%
NA,JENNY BAY SOUTH CREEK,1982,8,9.00%
NA,THORSEN CREEK,1982,8,9.00%
NA,NUSATSUM RIVER,1982,8,9.00%
NA,RICHMOND BAY CREEK,1982,12,0.247467778634973
NA,ELLEN COVE CREEK,1982,12,0.247467778634973
NA,SALLOOMT RIVER,1982,8,9.00%
NA,JENNY BAY EAST CREEK,1982,8,9.00%
NA,CRACROFT CREEK,1982,12,0.247467778634973
NA,SKEENE RIVER,1982,12,0.247467778634973
NA,SOCKEYE CREEK,1982,7,44.00%
NA,NOOHALK CREEK,1982,8,9.00%
NA,COLLINSON CREEK,1982,12,0.247467778634973
NA,FANCY COVE HEAD CREEK,1982,7,44.00%
NA,BLIND CREEK,1982,12,0.247467778634973
NA,NOOSGULCH RIVER,1982,8,9.00%
4000,QUATLENA RIVER,1983,8,27.00%
NA,LAGOON CREEK,1983,7,17.00%
NA,PHYLLIS LAKE CREEK,1983,12,0.427871996866045
2500,WATSON BAY CREEK,1983,7,17.00%
200,MATSIU CREEK,1983,12,0.427871996866045
15000,KEOGH RIVER,1983,12,0.427871996866046
NA,ATNARKO SPAWNING CHANNEL,1983,8,27.00%
4000,NECLEETSCONNAY RIVER,1983,8,27.00%
50,MCALISTER CREEK,1983,12,0.427871996866046
10000,CANYON CREEK,1983,7,17.00%
9000,CHAMISS CREEK,1983,7,17.00%
40,ROBINSON CREEKS,1983,7,17.00%
NA,ELLERSLIE LAGOON CREEK,1983,7,17.00%
21000,ROSCOE CREEK,1983,7,17.00%
30,HAUSER CREEK,1983,7,17.00%
300,WINDY BAY CREEK,1983,7,17.00%
NA,KENNETH RIVER,1983,12,0.427871996866045
NA,GRASSY BAY CREEK,1983,8,27.00%
8000,CASCADE RIVER,1983,8,27.00%
NA,COLD CREEK,1983,8,27.00%
9510,COOPER INLET CREEKS,1983,7,17.00%
NA,STEELHEAD CREEK,1983,8,27.00%
NA,YOUNG RIVER,1983,9,14.00%
NA,WAHKASH CREEK,1983,12,0.427871996866045
NA,SANDELL RIVER,1983,9,14.00%
18000,SALMON BAY CREEK,1983,7,17.00%
8000,QUARTCHA CREEK,1983,7,17.00%
0,WATT CREEK,1983,7,17.00%
310,POISON COVE CREEK,1983,7,17.00%
220,GOAT BUSHU CREEK,1983,7,17.00%
1500,"NAMU RIVER",1983,8,27.00%
50,WINDFALL CREEK,1983,7,17.00%
NA,HOCHSTADER BASIN CREEKS (2),1983,7,17.00%
0,NEW VANCOUVER CREEK,1983,12,0.427871996866045
NA,FOUR LAKES CREEK,1983,8,27.00%
500,SAGAR CREEK,1983,8,27.00%
0,KOKISH RIVER,1983,12,0.427871996866046
NA,TSULTON RIVER,1983,12,0.427871996866045
6500,LOCKHART GORDON CREEK,1983,9,14.00%
1000,VINER SOUND CREEK,1983,12,0.427871996866046
60,RETURN CHANNEL CREEKS,1983,7,17.00%
500,WEBSTER LAKE CREEK,1983,7,17.00%
NA,DORIS CREEK,1983,9,14.00%
5000,DEAN RIVER,1983,8,27.00%
NA,PENO CREEK,1983,7,17.00%
2100,DRANEY CREEK,1983,9,14.00%
1400,GENESEE CREEK,1983,9,14.00%
35000,AHTA RIVER,1983,12,0.427871996866046
NA,HOGAN CREEK,1983,9,14.00%
NA,ATNARKO RIVER,1983,8,27.00%
2e+05,KWATNA RIVER,1983,8,27.00%
4000,CARTER RIVER,1983,7,17.00%
0,AHTA VALLEY CREEK,1983,12,0.427871996866046
8600,NEEKAS CREEK,1983,7,17.00%
2250,KWALATE CREEK,1983,12,0.427871996866046
2200,HOEYA SOUND CREEK,1983,12,0.427871996866046
NA,HYCUND CREEK,1983,12,0.427871996866045
1000,NOEICK RIVER,1983,8,27.00%
12,TSULQUATE RIVER,1983,12,0.427871996866046
100,SHUSHARTIE RIVER,1983,12,0.427871996866046
1200,BIG BAY CREEK,1983,7,17.00%
400,LARD CREEK,1983,7,17.00%
75,BEAVER CREEK,1983,9,14.00%
450,WALKER LAKE CREEK,1983,7,17.00%
0,CHOKE PASS CREEKS (3),1983,7,17.00%
NA,PERRY CREEK,1983,9,14.00%
1075,CLYAK RIVER,1983,9,14.00%
0,NIGGER CREEK,1983,12,0.427871996866045
NA,CREASY BAY RIVER,1983,12,0.427871996866045
NA,SALLIE CREEK,1983,12,0.427871996866046
3e+05,GLENDALE CREEK,1983,12,0.427871996866046
NA,HAUSKIN CREEK,1983,12,0.427871996866046
0,TUNA RIVER,1983,12,0.427871996866046
0,FULMORE RIVER,1983,12,0.427871996866046
700,KITASU CREEK,1983,7,17.00%
NA,QUATSESE RIVER,1983,12,0.427871996866045
15000,ADAM RIVER,1983,12,0.427871996866046
100,NIMPKISH RIVER,1983,12,0.427871996866046
1000,KIMSQUIT RIVER,1983,8,27.00%
NA,ICY RIVER,1983,12,0.427871996866045
NA,GREEN RIVER,1983,8,27.00%
0,KAMANO BAY CREEK,1983,12,0.427871996866046
NA,TANCRED CREEK,1983,12,0.427871996866045
NA,WALDEN CREEK II,1983,12,0.427871996866045
6,RAINBOW CREEK,1983,7,17.00%
40000,KOEYE RIVER,1983,8,27.00%
NA,NIEL CREEK,1983,9,14.00%
0,GEISH CREEK,1983,7,17.00%
NA,KILPALA RIVER,1983,12,0.427871996866045
5000,KADJUSDIS RIVER,1983,7,17.00%
0,BUGHOUSE CREEK,1983,12,0.427871996866046
5000,HIRD POINT CREEK,1983,7,17.00%
2100,BOTTLENECK CREEK,1983,7,17.00%
NA,RESCUE BAY CREEKS,1983,7,17.00%
0,OATSOALIS CREEK,1983,9,14.00%
0,PINE RIVER,1983,7,17.00%
900,DALLERY CREEK,1983,9,14.00%
16000,KORICH CREEK,1983,7,17.00%
NA,NEKITE SPAWNING CHANNEL,1983,10,20.00%
NA,SNOOTLI CREEK,1983,8,27.00%
45000,NEKITE RIVER,1983,10,20.00%
0,CARRIDEN CREEK,1983,12,0.427871996866046
NA,LILIAN CREEK,1983,7,17.00%
150000,WAKEMAN RIVER,1983,12,0.427871996866046
100,QUATSE RIVER,1983,12,0.427871996866046
NA,MILLS CREEK,1983,12,0.427871996866046
NA,EVE RIVER,1983,12,0.427871996866046
0,MACKENZIE RIVER,1983,12,0.427871996866046
147,MCLOUGHLIN CREEK,1983,7,17.00%
300,CRAB HARBOUR CREEK,1983,8,27.00%
NA,MACHMELL RIVER,1983,9,14.00%
NA,CANOE CREEK,1983,10,20.00%
0,SOUND POINT LAGOON CREEK,1983,7,17.00%
1200,MACNAIR CREEK,1983,9,14.00%
9000,JAMES BAY CREEK,1983,7,17.00%
NA,GARBAGE DUMP CREEK,1983,8,27.00%
0,"NAHWITTI RIVER",1983,12,0.427871996866046
NA,"NAYSASH CREEK",1983,10,20.00%
700,NIEUMIAMUS CREEK,1983,8,27.00%
100,STRANDBY RIVER,1983,12,0.427871996866045
8000,ASSEEK RIVER,1983,8,27.00%
15000,ELCHO CREEK,1983,8,27.00%
500,CLUXEWE RIVER,1983,12,0.427871996866046
6500,DUTHIE CREEK,1983,7,17.00%
NA,SKIMLETS CREEK,1983,8,27.00%
NA,TASTSQUAN CREEK,1983,8,27.00%
NA,HAGENSBORG SLOUGH,1983,8,27.00%
NA,TZEO RIVER,1983,9,14.00%
18000,CHUCKWALLA RIVER,1983,9,14.00%
NA,SMOKEHOUSE CREEK,1983,10,20.00%
0,NEECHANZ RIVER,1983,9,14.00%
0,SIM RIVER,1983,12,0.427871996866046
NA,BOND RIVER NO. 1,1983,12,0.427871996866045
NA,BULLOCK CHANNEL #2 CREEK,1983,7,17.00%
NA,MAPLE CREEK,1983,12,0.427871996866046
NA,HYDE CREEK,1983,12,0.427871996866046
NA,THIRD CREEK,1983,8,27.00%
NA,KWAKIUTL CREEK,1983,7,17.00%
NA,WALKER ISLAND CREEK,1983,8,27.00%
100,WALKUM CREEK,1983,10,20.00%
NA,AIRPORT SIDE CHANNEL,1983,8,27.00%
NA,MARGARET CREEK,1983,10,20.00%
NA,CHIC CHIC CREEK,1983,10,20.00%
20000,KILBELLA RIVER,1983,9,14.00%
NA,BULLOCK CHANNEL #3 NORTH CREEK,1983,7,17.00%
8e+05,KAKWEIKEN RIVER,1983,12,0.427871996866046
NA,FANNIE COVE LEFT HAND CREEK,1983,7,17.00%
NA,SALLY CREEK,1983,7,17.00%
6,SHOAL HARBOUR CREEK,1983,12,0.427871996866046
20000,"NAMELESS CREEK",1983,7,17.00%
70000,KAINET CREEK,1983,7,17.00%
70000,JOHNSTON CREEK,1983,9,14.00%
NA,OWIKENO LAKE,1983,9,14.00%
NA,HAGEN CREEK,1983,10,20.00%
1500,LEE CREEK,1983,7,17.00%
1100000,BELLA COOLA RIVER,1983,8,27.00%
100,SONGHEES CREEK,1983,12,0.427871996866046
0,POTTS LAGOON CREEK,1983,12,0.427871996866046
2550,LULL CREEK,1983,12,0.427871996866046
NA,DREW CREEK,1983,7,17.00%
NA,DSULISH CREEK,1983,10,20.00%
0,KILDIDT LAGOON #2 CREEK,1983,7,17.00%
20000,CLATSE CREEK,1983,7,17.00%
NA,CHARLES CREEK,1983,12,0.427871996866046
2180,TANKEEAH RIVER,1983,7,17.00%
NA,BOSS CREEK,1983,10,20.00%
NA,ROBERT ARM CREEK,1983,9,14.00%
4,SPILLER LAGOON CREEK,1983,7,17.00%
NA,WAHKANA BAY CREEK,1983,12,0.427871996866045
6500,JENNY BAY CREEKS,1983,8,27.00%
0,DEER PASS LAGOON CREEKS,1983,7,17.00%
NA,CUTTER COVE CREEK,1983,12,0.427871996866045
NA,WAHGILAH CREEK,1983,7,17.00%
1570,BEALE'S LAGOON CREEK,1983,7,17.00%
225,KLINAKLINI RIVER,1983,12,0.427871996866046
0,KILDIDT CREEK,1983,7,17.00%
250,ALLARD CREEK,1983,9,14.00%
4000,NOOSESECK RIVER,1983,8,27.00%
NA,REAK CREEK,1983,7,17.00%
0,JENNIS BAY CREEK,1983,12,0.427871996866046
2500,TALEOMEY RIVER,1983,8,27.00%
NA,PORT HARVEY LAGOON CREEKS,1983,12,0.427871996866046
6000,KUNSOOT RIVER,1983,7,17.00%
1500,KISAMEET RIVER,1983,8,27.00%
1200,MARTIN RIVER,1983,8,27.00%
1500,SKOWQUILTZ RIVER,1983,8,27.00%
6500,BIG CREEK,1983,7,17.00%
0,MILTON RIVER,1983,9,14.00%
NA,SUTHERLAND RIVER,1983,12,0.427871996866045
200,CAMP CREEK,1983,8,27.00%
NA,THORWALD CREEK,1983,8,27.00%
NA,CORTINA CREEK,1983,12,0.427871996866045
1,TAKUSH RIVER,1983,10,20.00%
NA,KLEMTU CREEK,1983,7,17.00%
14000,MUSSEL RIVER,1983,7,17.00%
0,STEWART CREEK,1983,7,17.00%
NA,INZIANA RIVER,1983,9,14.00%
750,WANNOCK RIVER,1983,9,14.00%
20,BOSWELL CREEK,1983,10,20.00%
NA,SPILLER INLET CREEK,1983,7,17.00%
NA,BULLOCK CHANNEL #3 SOUTH CREEK,1983,7,17.00%
NA,JENNY BAY WEST CREEK,1983,8,27.00%
NA,ADA COVE CREEK,1983,7,17.00%
1500,NICKNAQUEET RIVER,1983,9,14.00%
2200,BOLIN BAY CREEK,1983,7,17.00%
10,PROTECTION POINT CREEK,1983,12,0.427871996866046
NA,CORDUROY CREEK,1983,10,20.00%
0,TUNO CREEK,1983,7,17.00%
NA,BRADLEY CREEK,1983,12,0.427871996866045
3,SHIP POINT CREEK,1983,7,17.00%
2000,HOOK NOSE CREEK,1983,8,27.00%
2000,NOOTUM RIVER,1983,8,27.00%
0,WALDON CREEK,1983,12,0.427871996866046
450,ASHLULM CREEK,1983,9,14.00%
NA,SHOAL CREEK,1983,12,0.427871996866045
NA,EMILY CREEK,1983,7,17.00%
NA,"NASCALL CREEK",1983,8,27.00%
0,GILFORD CREEK,1983,12,0.427871996866046
NA,"NAKA CREEK",1983,12,0.427871996866046
600,WORAN CREEK,1983,8,27.00%
9000,AHNUHATI RIVER,1983,12,0.427871996866046
10000,KINGCOME RIVER,1983,12,0.427871996866046
0,SIMOOM SOUND CREEK,1983,12,0.427871996866046
50,AMBACK CREEK,1983,9,14.00%
0,TUNO CREEK WEST,1983,7,17.00%
50,DEEP BAY CREEK,1983,8,27.00%
NA,HEALTH LAGOON CREEK,1983,12,0.427871996866046
50,GORILLA CREEK,1983,7,17.00%
4,CALL CREEK,1983,12,0.427871996866046
2300,TOM BAY CREEK,1983,7,17.00%
NA,SHEEMAHANT RIVER,1983,9,14.00%
10,GRANTHAM CREEK,1983,8,27.00%
0,EMBLEY CREEK,1983,12,0.427871996866046
10,DE COSMOS LAGOON CREEK,1983,8,27.00%
NA,NOOKLIKONNIK CREEK,1983,8,27.00%
NA,NUSASH CREEK,1983,8,27.00%
NA,FRANKLIN RIVER,1983,12,0.427871996866045
0,MARION CREEK,1983,12,0.427871996866045
50,CALDER CREEK,1983,7,17.00%
80,MARY COVE CREEK,1983,7,17.00%
NA,SHELTER BAY CREEK,1983,12,0.427871996866045
0,SCOTT COVE CREEK,1983,12,0.427871996866046
NA,CLAYTON FALLS CREEK,1983,8,27.00%
25,WASHWASH RIVER,1983,9,14.00%
80,TSITIKA RIVER,1983,12,0.427871996866046
NA,ROBBERS KNOB CREEK,1983,12,0.427871996866046
2200,EVANS INLET #3 CREEK,1983,8,27.00%
NA,CACOOHTIN CREEK,1983,8,27.00%
NA,NEWICHY CREEK,1983,9,14.00%
NA,HAND CREEK,1983,12,0.427871996866045
400,BOUGHEY CREEK,1983,12,0.427871996866046
156,BULLOCK CHANNEL CREEKS,1983,7,17.00%
8500,KWAKUSDIS RIVER,1983,7,17.00%
NA,THIEMER CREEK,1983,12,0.427871996866046
0,NIMMO CREEK,1983,12,0.427871996866046
NA,FISH CREEK,1983,8,27.00%
0,ALLARDYCE CREEK,1983,12,0.427871996866045
NA,FANNIE COVE RIGHT HAND CREEK,1983,7,17.00%
10,BULLEY BAY CREEK,1983,7,17.00%
NA,MCINTOSH CREEK,1983,12,0.427871996866045
150,DOCEE RIVER,1983,10,20.00%
NA,GEORGE HALL CREEK,1983,8,27.00%
0,COHOE CREEK,1983,12,0.427871996866046
7000,FRENCHMAN CREEK,1983,8,27.00%
NA,JENNY BAY SOUTH CREEK,1983,8,27.00%
NA,THORSEN CREEK,1983,8,27.00%
NA,NUSATSUM RIVER,1983,8,27.00%
NA,RICHMOND BAY CREEK,1983,12,0.427871996866045
NA,ELLEN COVE CREEK,1983,12,0.427871996866045
NA,SALLOOMT RIVER,1983,8,27.00%
NA,JENNY BAY EAST CREEK,1983,8,27.00%
NA,CRACROFT CREEK,1983,12,0.427871996866045
NA,SKEENE RIVER,1983,12,0.427871996866045
NA,SOCKEYE CREEK,1983,7,17.00%
NA,NOOHALK CREEK,1983,8,27.00%
NA,COLLINSON CREEK,1983,12,0.427871996866045
NA,FANCY COVE HEAD CREEK,1983,7,17.00%
NA,BLIND CREEK,1983,12,0.427871996866046
NA,NOOSGULCH RIVER,1983,8,27.00%
350,QUATLENA RIVER,1984,8,8.00%
200,LAGOON CREEK,1984,7,34.00%
NA,PHYLLIS LAKE CREEK,1984,12,0.379086402883902
385,WATSON BAY CREEK,1984,7,34.00%
NA,MATSIU CREEK,1984,12,0.379086402883902
25000,KEOGH RIVER,1984,12,0.379086402883902
NA,ATNARKO SPAWNING CHANNEL,1984,8,8.00%
27500,NECLEETSCONNAY RIVER,1984,8,8.00%
20,MCALISTER CREEK,1984,12,0.379086402883902
850,CANYON CREEK,1984,7,34.00%
7300,CHAMISS CREEK,1984,7,34.00%
0,ROBINSON CREEKS,1984,7,34.00%
NA,ELLERSLIE LAGOON CREEK,1984,7,34.00%
400,ROSCOE CREEK,1984,7,34.00%
NA,HAUSER CREEK,1984,7,34.00%
445,WINDY BAY CREEK,1984,7,34.00%
NA,KENNETH RIVER,1984,12,0.379086402883902
NA,GRASSY BAY CREEK,1984,8,8.00%
2000,CASCADE RIVER,1984,8,8.00%
NA,COLD CREEK,1984,8,8.00%
11000,COOPER INLET CREEKS,1984,7,34.00%
NA,STEELHEAD CREEK,1984,8,8.00%
38000,YOUNG RIVER,1984,9,29.00%
NA,WAHKASH CREEK,1984,12,0.379086402883902
NA,SANDELL RIVER,1984,9,29.00%
7700,SALMON BAY CREEK,1984,7,34.00%
600,QUARTCHA CREEK,1984,7,34.00%
0,WATT CREEK,1984,7,34.00%
560,POISON COVE CREEK,1984,7,34.00%
150,GOAT BUSHU CREEK,1984,7,34.00%
100,"NAMU RIVER",1984,8,8.00%
0,WINDFALL CREEK,1984,7,34.00%
0,HOCHSTADER BASIN CREEKS (2),1984,7,34.00%
NA,NEW VANCOUVER CREEK,1984,12,0.379086402883902
10,FOUR LAKES CREEK,1984,8,8.00%
200,SAGAR CREEK,1984,8,8.00%
0,KOKISH RIVER,1984,12,0.379086402883902
NA,TSULTON RIVER,1984,12,0.379086402883902
750,LOCKHART GORDON CREEK,1984,9,29.00%
NA,VINER SOUND CREEK,1984,12,0.379086402883902
2,RETURN CHANNEL CREEKS,1984,7,34.00%
5,WEBSTER LAKE CREEK,1984,7,34.00%
NA,DORIS CREEK,1984,9,29.00%
8000,DEAN RIVER,1984,8,8.00%
NA,PENO CREEK,1984,7,34.00%
900,DRANEY CREEK,1984,9,29.00%
150,GENESEE CREEK,1984,9,29.00%
10000,AHTA RIVER,1984,12,0.379086402883902
0,HOGAN CREEK,1984,9,29.00%
NA,ATNARKO RIVER,1984,8,8.00%
30000,KWATNA RIVER,1984,8,8.00%
6500,CARTER RIVER,1984,7,34.00%
0,AHTA VALLEY CREEK,1984,12,0.379086402883902
36000,NEEKAS CREEK,1984,7,34.00%
200,KWALATE CREEK,1984,12,0.379086402883902
350,HOEYA SOUND CREEK,1984,12,0.379086402883902
